movie_title,year,genre,duration,director,description,avg_vote,reviews_from_users,reviews_from_critics
Mercy (Senza pietà),2000,"Mystery, Thriller",117,Damian Harris,Detective Catherine Palmer investigates a series of sexually gruesome serial murders and becomes embroiled in a world of lesbianism and bondage after she becomes obsessed with one of the victims' paramours.,5.4,44.0,10.0
Price of Glory,2000,"Drama, Sport",118,Carlos Avila,"An ex-boxer, living with the knowledge that his fight career was cut short by a crooked manager, channels his bitter disappointment in a single-minded quest for boxing championships for his...",6.3,13.0,48.0
Insatiable Wives,2000,"Drama, Fantasy, Romance",78,Mike Sedan,"Donna is unfulfilled. In an unsatisfying marriage, she finds herself fantasizing about her sultry friends' lovers. But for her, fantasy and forbidden desires are about to be reawakened. ...",4.8,3.0,3.0
Gabriela,2001,"Drama, Romance",93,Vincent Jay Miller,"Mike is romantic and persistent, a social worker at a psychiatric clinic who falls for a new intern. Gabriela is passionate; she's also engaged; although her love for her fiance Patrick ...",5.1,78.0,8.0
Surrender,2000,"Drama, Fantasy, Romance",94,Kelley Cauthen,"A beautiful woman has a sexual fantasy that she passes on. Then she is visited by a supernatural being, and things start to get more interesting.",4.5,5.0,2.0
FBI - Protezione testimoni,2000,"Comedy, Crime",98,Jonathan Lynn,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",6.7,321.0,53.0
Il volo di Fancy,2000,Family,96,Noel Quiñones,"A young single mother, Mercedes, is about to marry solid, dependable Frank, when a dashing aviator, Clay, comes into her life. But when pilot Clay crash-lands on a small, remote island he sends the inhabitants into a tailspin.",5.0,4.0,2.0
Sand,2000,Drama,89,Matt Palmieri,"A young man tries running from his past by hiding from his two violent brothers, only to have them track and harass him and his friends.",4.6,17.0,1.0
Vizi mortali,2002,"Drama, Mystery, Thriller",91,Zoe Clarke-Williams,"A North Carolina sheriff investigates the near-fatal drug overdose of an underachieving college girl, and uncovers many sordid details of her life before and during her descent into drugs and debauchery.",5.3,37.0,29.0
The Fighting Temptations,2003,"Comedy, Drama, Music",123,Jonathan Lynn,A New York advertising executive travels to a small Southern town to collect an inheritance but finds he must create a gospel choir and lead it to success before he can collect.,5.6,62.0,37.0
Le riserve,2000,"Comedy, Sport",118,Howard Deutch,"During a pro football strike, the owners hire substitute players.",6.6,271.0,121.0
28 giorni,2000,"Comedy, Drama",103,Betty Thomas,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.,6.1,205.0,121.0
Get Over It,2001,"Comedy, Romance",87,Tommy O'Haver,A high school senior's girlfriend breaks up with him. His friends try to make him think of something else. His friend's sister Kelly helps him with the school musical. Spending time with Kelly has an effect.,5.7,181.0,61.0
Top model per caso,2001,"Comedy, Mystery, Romance",86,Mark Waters,A young woman is attracted to a man despite her thinking she's seen him kill someone.,5.5,106.0,62.0
Ho solo fatto a pezzi mia moglie,2000,"Comedy, Crime, Fantasy",95,Alfonso Arau,"A small New Mexican village discovers a severed hand that is considered a miracle of God, when it actually belongs to a murdered spouse with a husband in search of it.",4.8,54.0,25.0
Where the Red Fern Grows,2003,"Drama, Family",86,"Lyman Dayton, Sam Pillsbury",Where the Red Fern Grows is the heartwarming and adventurous tale for all ages about a young boy and his quest for his own red-bone hound hunting dogs.,6.4,16.0,9.0
Enemies of Laughter,2000,"Comedy, Romance",90,Joey Travolta,Enemies tells the story of a playwright and sitcom writer Paul Halpern (Academy Award Nominee David Paymer) who can't buy a break!,5.5,3.0,3.0
Meet Prince Charming,2002,Romance,94,Brett Parker,"Jonathan 'Jack' Harris is a waiter, who hopes to start a newspaper called The Tribeca Times, after the part of Manhattan where he lives, and while struggling to find advertisers and stories...",5.0,11.0,
Panic,2000,"Comedy, Crime, Drama",88,Henry Bromell,"Alex, a hit man, tries to get out of the family business, but his father won't let him do so. While seeking the help of a therapist, he meets a sexually charged 23-year-old woman with whom he falls in love.",6.6,120.0,55.0
Chain of Fools,2000,"Comedy, Crime",98,"Pontus Löwenhielm, Patrick von Krusenstjerna",Salma Hayek plays an avid detective assigned to the heist of a batch of precious coins that end up in the hands of a suicidal barber.,6.1,22.0,8.0
In pericolo di vita,2000,Thriller,90,Kevin Mock,After a drifter is struck by a car the driver offers to take him back from the hospital to her home in order to nurse him back to health...which turns out to be one of the biggest mistakes of her life.,4.3,11.0,4.0
We Married Margo,2000,Comedy,85,J.D. Shapiro,"Based on a true story (written by and starring the two dingbats who lived it). It's about two men who both used to be married to the same woman. Now divorced from her, they move in together...",6.7,19.0,3.0
Starforce,2000,"Action, Sci-Fi, Thriller",93,"Cary Howe, Tony Kandah",A warrior and a beautiful ex-convict are left to fight the galaxy's most fearsome commandos in an alien wasteland.,5.7,2.0,4.0
Le due facce di un assassino,2000,"Drama, Thriller",90,Peter Liapis,"A jealous man tries to take his twin brothers wife, job and family.",5.0,6.0,2.0
Erin Brockovich - Forte come la verità,2000,"Biography, Drama",131,Steven Soderbergh,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,7.3,525.0,155.0
Final Destination,2000,"Horror, Thriller",98,James Wong,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",6.7,730.0,158.0
Per una sola estate,2000,"Drama, Romance",96,Mark Piznarski,A rich college kid is taught a lesson after a joy ride ends up destroying a country restaurant.,5.2,161.0,45.0
Next Friday,2000,Comedy,98,Steve Carr,Uncle Elroy and Day Day owe money on taxes so Craig finds a way to steal from the next door neighbors to pay off the taxes so Uncle Elroy's house doesn't get put up for auction.,6.2,88.0,17.0
Sam the Man,2001,"Comedy, Drama, Romance",87,Gary Winick,,4.8,2.0,4.0
Ticker,2001,"Action, Crime, Thriller",92,Albert Pyun,"After a San Francisco detective's partner is murdered by Northern Irish terrorists, the officer joins the bomb squad in order to bring them to justice.",3.6,102.0,29.0
Criminali da strapazzo,2000,"Comedy, Crime",94,Woody Allen,A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.,6.7,196.0,96.0
The Wrecking Crew,2000,"Action, Crime, Drama",80,Albert Pyun,A high-level government hit squad is sent into the streets in order to complete a deadly mission.,2.3,21.0,8.0
Tentazione pericolosa,2000,"Drama, Romance, Thriller",95,Lyndon Chubbuck,A detective falls for the man she's supposed to be investigating; dire complications follow.,5.4,14.0,9.0
Lockdown,2000,"Drama, Thriller",105,John Luessenhop,"Avery (Jones) returns to college as a competitive swimmer after getting his life back on track. But his life takes another unexpected turn when he and his two friends (Bonds, Casseus) are wrongly accused of murder and end up in prison.",6.2,14.0,8.0
Under Pressure,2000,"Action, Drama, Thriller",94,Jean Pellerin,A car ferry carrying a valuable artifact is sunk by a group of international thieves.,3.8,18.0,5.0
The Atrocity Exhibition,2000,"Drama, Horror",105,Jonathan Weiss,A university professor is fascinated with humankind's history of violent self-destruction.,5.7,4.0,6.0
Delitto + castigo a Suburbia,2000,"Drama, Thriller",100,Rob Schmidt,"A darkly romantic story of murder and redemption, set against an eerily familiar American landscape.",5.9,53.0,29.0
Live Freaky Die Freaky,2006,"Animation, Comedy, Musical",75,John Roecker,"In a distant future, a cult forms around the Manson Family, when Charles Manson is mistaken for the messiah. Meanwhile, in 1969, Manson convinces his followers to murder Sharon Tate.",5.0,32.0,8.0
Amore al buio,2000,"Drama, Romance",99,C.B. Harding,"A beautiful mysterious woman enters the life of a sexy photographer, her friend and friend's boyfriend. They spend a couple of days together in a huge beach house and their inhibitions fade.",4.4,5.0,1.0
Lush,2000,"Comedy, Drama",93,Mark Gibson,"Lionel ""Ex"" Exley is a golf pro who returns to his hometown of New Orleans, where he befriends lawyer W. Firmin Carter. When Carter suddenly goes missing, however, the party's over for Ex, as he's the prime suspect.",5.0,13.0,2.0
Partners in Crime,2000,"Crime, Drama",90,Jennifer Warren,"A small-town detective is assigned to work on a high-profile kidnapping case reporting to a decorated F.B.I. Agent, who happens to be his ex-wife.",5.6,8.0,6.0
Vampires Anonymous,2003,Comedy,88,Michael Keller,"A vampire trying to get away from his ""eating habits"", joins a 12-step program.",5.2,14.0,8.0
Qui dove batte il cuore,2000,"Comedy, Drama, Romance",120,Matt Williams,"A pregnant seventeen-year-old rebuilds her life after being abandoned by her boyfriend at a Walmart in Sequoyah, Oklahoma.",6.8,247.0,81.0
After Sex,2000,"Comedy, Drama, Romance",96,Cameron Thor,"4 LA women, 3 married, go to a Palm Springs resort together for a weekend of flirting etc. Consequences?",4.4,9.0,2.0
I soliti amici,2000,"Comedy, Crime",88,Michael Dinner,Four retired mobsters plan one last crime to save their retirement home.,5.6,48.0,55.0
Escape to Grizzly Mountain,2000,"Family, Western",95,Anthony Dalesandro,"Jimmy, a young boy trying to gain acceptance from his peers, is horrified when he sees a circus trainer abusing a bear cub. One of the circus employees tells Jimmy that there is a magic ...",5.8,8.0,1.0
Monsters & Co.,2001,"Animation, Adventure, Comedy",92,"Pete Docter, David Silverman","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",8.0,687.0,264.0
Passion's desire - Istinti proibiti,2000,"Drama, Thriller",95,Mike Sedan,"Struggling publisher's agent, in a bad live-in relationship, recruits a romance novelist whose bestsellers document her affair with the agent, and betrayal. She refuses the deal, just to ...",4.5,4.0,1.0
Perfect Fit,2001,"Comedy, Thriller",103,Donald P. Borchers,"An aimless young man turns to murder in order to satisfy the desires of his new girlfriend, a narcissistic blue jean fetishist.",5.5,7.0,
Secret Pleasures,2002,"Drama, Romance",90,Michael Paul Girard,"An attractive woman detective, expert in cases of conjugal infidelity is hired by a mysterious millionaire, unaware that she will get involved in a feverish love triangle to gather all the ...",4.6,5.0,
The Visit,2000,Drama,107,Jordan Walker-Pearlman,"A young man dying in prison brings his family together for a fateful visit, and proceeds to put his life back together.",5.9,9.0,20.0
3 Strikes,2000,Comedy,82,DJ Pooh,"Brian Hooks plays a character who is just released from jail. And the state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change ...",4.8,10.0,14.0
Love & Basketball,2000,"Drama, Romance, Sport",124,Gina Prince-Bythewood,Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.,7.2,122.0,69.0
I ragazzi della mia vita,2001,"Biography, Comedy, Drama",132,Penny Marshall,"A single mother, with dreams of becoming a writer, has a son at the age of 15 in 1965, and goes through a failed marriage with the drug-addicted father.",6.5,212.0,89.0
Stanley's Gig,2000,"Drama, Music",93,Marc Lazard,An emotionally dysfunctional ukulele minstrel lands a gig at a nursing home where he strikes up an unlikely relationship with an ancient jazz chanteuse and awakens from a lifetime of loneliness and inconsequence.,5.7,8.0,1.0
Diamond Men,2000,Drama,100,Dan Cohen,A thirty-years traveling diamond salesman must mentor a brash young replacement when his company downsizes him.,7.0,36.0,23.0
Chuck & Buck,2000,"Comedy, Drama",96,Miguel Arteta,An oddly naive man-child stalks his childhood best friend and tries to reconnect with their past.,6.5,139.0,43.0
Le ragazze del Coyote Ugly,2000,"Comedy, Drama, Music",100,David McNally,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",5.7,389.0,160.0
Totally Blonde,2001,Comedy,94,Andrew Van Slee,"Meg Peters just can't seem to find Mr. Right, she bleaches her hair blonde and we answer the age old question ""Do blondes really have more fun?""",3.7,20.0,2.0
The Rising Place,2001,Drama,93,Tom Rice,"The close friendship of two young women, each of a different race, and their struggle to find purpose in their lives during this time of social injustice and world war.",6.1,2.0,8.0
The Shrink Is In,2001,"Comedy, Romance",92,Richard Benjamin,A young woman impersonates a shrink to win over her Prince Charming.,5.2,20.0,3.0
Longshot,2001,"Action, Comedy, Crime",93,Lionel C. Martin,A twenty-something tennis instructor/gigolo gets embroiled in a scheme involving seduction and insider trading.,2.7,32.0,3.0
The Last Producer,2000,"Comedy, Drama",90,Burt Reynolds,An old-time mogul struggles to reenter the club where power and money make the rules.,4.8,9.0,3.0
Lost in the Pershing Point Hotel,2000,"Comedy, Drama",107,Julia Jay Pierrepont III,"Taken from the life story of Leslie Jordan. A Tennessee country boy realizes he's gay and keeps getting in trouble with the local bad boys. He hears Atlanta is the new place to be, tosses ...",4.5,3.0,2.0
Pinata - L'isola del terrore,2002,"Horror, Thriller",85,"David Hillenbrand, Scott Hillenbrand","A group of teens trapped on an island, and are haunted by a demon hidden inside a pinata.",2.4,96.0,25.0
La voce degli angeli,2000,Drama,106,Peter O'Fallon,An old woman helps a young boy resolve his feelings over the death of his mother.,6.9,34.0,19.0
Just One Night,2000,Comedy,90,Alan Jacobs,"Professor Isaac Balter, en route to his wedding, stops over in San Francisco for one night and falls in love with another beautiful woman, Aurora. In his twenty-four hour wild ride, he ...",5.5,8.0,2.0
Deep Core - Al centro della Terra,2000,"Action, Sci-Fi, Thriller",80,Rodney McDonald,The future of Earth is in question when a strange reaction deep beneath its surface causes a massive rupture in the planet's inner structure.,2.9,22.0,4.0
Costi quel che costi,2000,"Comedy, Drama, Romance",94,David Raynr,A modern-day remake of the Cyrano DeBergerac tale.,5.5,92.0,28.0
Love.com,2002,Thriller,85,Sherwood Ball,A brutal murder exposes the dark side of Internet fantasy.,2.4,10.0,1.0
Rock Star,2001,"Drama, Music",105,Stephen Herek,Lead singer of a tribute band becomes lead singer of the real band he idolizes.,6.3,198.0,97.0
Duetto a tre,2002,"Comedy, Romance",91,Jordan Brady,A man accidentally hits a homeless person with his car and then can't seem to get rid of him the rest of the night.,5.5,25.0,14.0
Two Family House,2000,"Comedy, Drama, Romance",108,Raymond De Felitta,A dreamer finds that his wife and friends are binding him to his mediocre existence.,7.1,40.0,37.0
Under Hellgate Bridge,2000,"Crime, Drama, Thriller",90,Michael Sergio,After being falsely imprisoned Ryan looks up his old girlfriend Carla who set him up. Carla is now married to Vincent who is Ryan's old nemesis and old vendettas resurface.,4.3,16.0,7.0
Le vie della violenza,2000,"Action, Crime, Drama",119,Christopher McQuarrie,Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.,6.7,336.0,121.0
Swimming,2000,Drama,98,Robert J. Siegel,"A bittersweet and intimate look at friendship, love and growing up. The easy life of summertime in Myrtle Beach is turned upside down for one local girl when two strangers come to town: a beautiful temptress and a charming drifter.",6.3,51.0,31.0
Double Parked,2000,"Comedy, Drama",98,Stephen Kinsella,A resourceful and high-spirited woman deals with financial distress and her asthmatic thirteen-year-old son when his life is gravely complicated by a new friendship with the son of her former drunken and abusive husband.,6.2,4.0,10.0
The Intern,2000,Comedy,90,Michael Lange,"An overworked, underpaid magazine intern goes from the mail-room to the boardroom, while searching for a spy within the company.",4.6,22.0,6.0
Men of Honor - L'onore degli uomini,2000,"Biography, Drama",129,George Tillman Jr.,"The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.",7.2,247.0,104.0
Conta su di me,2000,Drama,111,Kenneth Lonergan,"A single mother's life is thrown into turmoil after her struggling, rarely seen younger brother returns to town.",7.5,241.0,70.0
A Good Night to Die,2003,"Action, Comedy, Thriller",100,Craig Singer,"One day in the life of a hit man, Ronnie, who spends it trying to save the life of fellow hit man, August, who he had brought into the business three years ago. August has become a real ...",4.8,19.0,2.0
Illicit Lovers,2000,"Comedy, Drama, Romance",93,Jay Madison,"When Jeff Diamond is unexpectedly laid off from his job, his wife Susan accepts an offer by her best friend Kathy to pay Jeff as an escort to a party. Kathy enjoyed Jeff so much she ...",4.1,8.0,
Un corpo da reato,2001,"Comedy, Crime",93,Harald Zwart,Every man has a different recollection of the beautiful young woman who wreaked havoc on their lives during one heated night.,6.1,130.0,106.0
Il sostituto,2000,"Action, Drama",95,Sam Firstenberg,"A staged kidnapping of the President of the United States becomes very real, forcing a lone hero to save the day.",2.8,31.0,11.0
Straight Out of Compton,2003,Crime,80,Ryan Combs,Four men learn that pulling one over on a gangster is both rewarding and potentially suicidal in this urban action-thriller. Hen (Ryan Combs) is a small-time crook who has just gotten out ...,4.4,2.0,
Animal Factory,2000,"Crime, Drama",94,Steve Buscemi,"A young man goes to prison and a tough, older convict takes him under his wing as a mentor.",6.6,76.0,59.0
Boys & girls - Attenzione: il sesso cambia tutto,2000,"Comedy, Drama, Romance",94,Robert Iscove,A friendship is put to the ultimate test when two best friends wind up in bed together.,5.4,131.0,67.0
Death of a Saleswoman,2006,"Comedy, Mystery",77,Donna Wheeler,Top-ranking RubberTubber saleswoman Agatha J. Ruby was brutally beaten and shot on her morning jog by an unknown assailant. Over six thousand dollars worth of her best plastic storage ware ...,1.6,8.0,1.0
L'esorcista - La genesi,2004,"Horror, Mystery, Thriller",114,Renny Harlin,"Years before Father Lankester Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in East Africa. This is the tale of Father Merrin's initial battle with Pazuzu and the rediscovery of his faith.",5.2,311.0,173.0
Firecracker,2005,"Crime, Drama, Mystery",112,Steve Balderson,"A young boy who lives in a dysfunctional home went to the carnival and met a singer. Shortly after, a murder took place. The town's sheriff is seeking answers. The singer is trying to ...",5.4,87.0,27.0
Poor White Trash,2000,"Comedy, Crime",85,Michael Addis,A white trash family must resort to crime to send their teenaged son to college.,5.1,36.0,11.0
The Watcher,2000,"Crime, Drama, Mystery",97,Joe Charbanic,David is a serial killer of young women. Joel was in charge of catching him in LA. He moved to Chicago a broken man. So did David and sends him photos of his next victims 24 hours before the murders.,5.3,196.0,107.0
Sordid Lives,2000,"Comedy, Romance",111,Del Shores,"As three generations of a family in a small Texas town gather for a funeral, we learn the hilarious, sad, trashy truth of their ""Sordid Lives.""",6.8,84.0,14.0
Camera Obscura,2000,"Crime, Drama, Thriller",99,Hamlet Sarkissian,"Jimmy joins a corrupt LAPD police force as a crime scene photographer. Soon, however, his life takes a turn for the worse as he descends into madness, rearranging evidence and victims to ""...",4.2,11.0,3.0
Ragazze nel pallone,2000,"Comedy, Romance, Sport",98,Peyton Reed,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,6.0,389.0,124.0
The Smokers,2000,Thriller,96,Kat Slater,Three rebellious teenage girls decide to even the score in the battle of the sexes.,2.9,79.0,3.0
Wildflower,2000,Thriller,92,David Michael Latt,An inheritance becomes the subject of a family brawl when a young hitchhiker tries to steal the fortune.,3.6,7.0,2.0
The King's Guard,2000,Adventure,92,Jonathan Tydor,A princess falls in love with her father's swordsman.,3.2,26.0,4.0
Madison,2001,"Drama, Sport",94,William Bindley,"A story about a man's personal struggle to victory in the 1971 Madison, Indiana hydro-plane regatta.",6.3,28.0,20.0
On Edge,2001,"Comedy, Romance, Sport",93,Karl Slovin,"Wendy, Veda, and J.C. are part of Southern California's thriving figure skating community - the bottom part. Luckily this is America, the land of opportunity, where a dream in your heart ...",5.2,15.0,3.0
Save the Last Dance,2001,"Drama, Music, Romance",112,Thomas Carter,"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.",6.2,326.0,91.0
Radio Killer,2001,"Action, Mystery, Thriller",97,John Dahl,"Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychotic killer.",6.6,361.0,158.0
Per incanto o per delizia,2000,"Comedy, Fantasy, Romance",92,Fina Torres,"Brazilian chef Isabella Oliveira moves to San Francisco when her husband, frustrated by her motion sickness, cheats on her.",5.3,89.0,74.0
Friends and Family,2001,"Comedy, Crime",87,Kristen Coury,A gay couple are hit men for the mafia.,6.2,31.0,15.0
Il prezzo della fortuna,2000,"Thriller, Crime, Drama",101,Luca Bercovici,"Jack Sweeny is a young man just trying to get a job. Turned down at another bank due to his criminal record he meets a girl, Rebecca, but also witnesses a 3 way shootout between 2 groups of...",5.1,17.0,6.0
What Women Want - Quello che le donne vogliono,2000,"Comedy, Fantasy, Romance",127,Nancy Meyers,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",6.4,409.0,157.0
Rischio mortale,2000,"Action, Adventure, Thriller",96,John Terlesky,Secret Service agents must retrieve the briefcase allowing the President control of America's nuclear arsenal before massive destruction ensues.,4.6,28.0,12.0
Lloyd,2001,"Comedy, Drama, Family",74,Hector Barron,A boy learns that confidence and self-esteem are the greatest gifts.,6.0,22.0,2.0
The Sleepy Time Gal,2001,Drama,108,Christopher Munch,"A young woman, played by Martha Plimpton learns of her adoption and eventually quits her law firm job in NYC and goes on a journey to find her birth mother - played by Jaqueline Bissett.",5.9,14.0,16.0
The Chaos Factor,2000,"Action, Drama, Thriller",95,Terry Cunningham,An American army intelligence officer discovers corruption and murder by American soldiers in Vietnam.,4.6,12.0,3.0
Chump Change,2000,"Comedy, Romance",89,Stephen Burrows,"Rags to riches to rags comedy loosely based on the director Steve Burrows' actual experiences while writing screenplays in Los Angeles. Burrows (aka ""Milwaukee Steve"") finally makes it big ...",5.6,25.0,14.0
Happy Accidents,2000,"Comedy, Romance",110,Brad Anderson,"Ruby Weaver, a woman from New York, believes she has found the man of her dreams. And Sam Deed is really such, except for he assures that he came from the future.",7.2,99.0,38.0
Diary of a City Priest,2001,Drama,77,Eugene Martin,"David Morse plays Father John McNamee, a catholic priest who accepts a position at an inner-city church. The film begins with Father McNamee as he starts his new job and follows the priest ...",5.8,4.0,3.0
La vendetta di Carter,2000,"Action, Crime, Drama",102,Stephen Kay,A Las Vegas mob enforcer travels back to his hometown to investigate his brother's mysterious death.,5.2,289.0,105.0
Downtown 81,2000,"Comedy, Drama, Musical",72,Edo Bertoglio,"After being released from the hospital, the artist",7.1,10.0,23.0
Memento,2000,"Mystery, Thriller",113,Christopher Nolan,A man with short-term memory loss attempts to track down his wife's murderer.,8.4,2278.0,213.0
La mummia - Il ritorno,2001,"Action, Adventure, Fantasy",130,Stephen Sommers,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",6.3,927.0,195.0
Return to the Secret Garden,2000,Family,90,Scott Featherstone,"Back to the Secret Garden is a great family fantasy film. Made in sequel to the original film ""The Secret Garden."" It has some of the original characters, Lady Mary amongst other favourites...",5.3,5.0,
Skipped Parts,2000,"Comedy, Drama, Romance",100,Tamra Davis,An ungrounded young mother and her thoughtful teenage son are banished to a remote provincial town by a domineering father.,6.3,40.0,6.0
Wish You Were Dead,2001,"Comedy, Crime, Thriller",100,Valerie McCaffrey,"Two bad women fight over one man in a back-stabbing, money-grabbing, insurance-hustling, double-dealing, two-timing caper.",4.9,7.0,2.0
Girlfight,2000,"Drama, Sport",110,Karyn Kusama,"Diana, without her father knowing it, trains as a boxer and achieves impressive success, blazing new trails for female boxers.",6.7,92.0,98.0
Happy Campers,2001,Comedy,94,Daniel Waters,"When a summer camp director gets injured, the diverse group of college freshmen counselors take charge and spice up the everyday routine of the camp.",5.5,40.0,14.0
Legend of the Phantom Rider,2002,"Action, Western, Fantasy",100,Alex Erkiletian,Two ancient entities reincarnated through the centuries face off time and again for an innocent soul.,4.9,14.0,1.0
Songcatcher,2000,"Drama, Music",109,Maggie Greenwald,"After being denied a promotion at the university where she teaches, Doctor Lily Penleric, a brilliant musicologist, impulsively visits her sister, who runs a struggling rural school in ...",7.2,78.0,39.0
Le cose che so di lei,2000,"Drama, Romance",109,Rodrigo García,Five California women struggle with personal problems as their own paths unwind in ways unexpected.,6.5,66.0,31.0
Tomorrow by Midnight,2001,"Comedy, Drama, Thriller",89,Rolfe Kanefsky,"Four college kids come to a video store near midnight, and through an unusual twist become embroiled in a hostage situation.",5.6,9.0,1.0
Il ritmo del successo,2000,"Drama, Music, Romance",115,Nicholas Hytner,A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.,6.7,220.0,73.0
In the Weeds,2000,"Comedy, Romance",91,Michael Rauch,A bistro's wait staff flirts and argues while managing concerns about their lives.,6.0,1.0,3.0
Il sapore della vittoria - Uniti si vince,2000,"Biography, Drama, Sport",113,Boaz Yakin,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,7.8,453.0,159.0
Road Dogz,2002,"Crime, Drama",91,Alfredo Ramos,"Some friends are closer than brothers, for Raymo, Alfonso and Danny that's all they know. Growing up in an L.A. barrio (neighborhood) is a daily struggle for survival all on its own. But ...",5.7,13.0,2.0
Compagnie pericolose,2001,"Crime, Drama, Thriller",92,"Brian Koppelman, David Levien","The wannabe sons of mobsters go to a remote town in the Midwest, and get themselves into more trouble than anyone could anticipate.",6.1,138.0,56.0
Terror Tract,2000,"Comedy, Horror, Romance",96,"Lance W. Dreesen, Clint Hutchison",A real estate agent terrifies a couple with the grim fates of the previous owners of a house they're looking at.,6.1,34.0,27.0
Awake - Anestesia cosciente,2007,"Crime, Drama, Mystery",84,Joby Harold,A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.,6.5,214.0,134.0
Clean and Narrow,2000,"Crime, Drama",82,William Katt,An ex-convict tries to make an honest living and take care of his girlfriend and her mentally slow brother.,5.3,4.0,2.0
Lip Service,2001,"Comedy, Drama",95,Shawn Schepps,Two very different former college roomates reunite under strange circumstances.,3.9,5.0,1.0
Kwik Stop,2001,Comedy,110,Michael Gilio,"The tale of a Hollywood-bound actor called Lucky whose shoplifting is discovered by a local girl in a small, Midwestern town.",6.9,8.0,7.0
Lady in the Box,2001,Mystery,105,Christian Otjen,"An unsuspecting bartender believes he has been set up for the murder of his own girlfriend, in this film-noirish, Hitchcockian suspense thriller.",6.0,7.0,1.0
Ti presento i miei,2000,"Comedy, Romance",108,Jay Roach,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",7.0,519.0,145.0
Miss Detective,2000,"Action, Comedy, Crime",109,Donald Petrie,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,6.2,393.0,134.0
Tully,2000,Drama,102,Hilary Birmingham,"Tully Coates, Jr., with his good looks and chiseled body, is the local heartthrob, and while he has a new girlfriend virtually every night, he's incapable of getting close to anyone. His ...",7.2,44.0,25.0
An Intimate Friendship,2000,"Romance, Drama",85,Angela Evers Hughey,A family of friends is forever changed when two of the friends realize that their love for one another goes beyond the confines of their conventional relationship.,3.5,4.0,
75 Degrees in July,2000,Drama,100,Hyatt Bass,"The film is set against the sweltering beauty of the Texas countryside, at a family ranch estate of a well-to-do family.",5.6,4.0,
Big Eden,2000,"Comedy, Drama, Romance",118,Thomas Bezucha,"Big Eden is a small, fictional northwestern Montana town.",7.3,110.0,39.0
Soulkeeper,2001,"Action, Adventure, Comedy",105,Darin Ferriola,"Two thieves down on their luck get hired to steal the Rock of Lazarus, an ancient relic capable of returning evil souls to earth.",5.1,52.0,10.0
Citizen Toxie: The Toxic Avenger IV,2000,"Action, Comedy, Fantasy",109,Lloyd Kaufman,"The Toxic Avenger must defend his friends from his own evil alternate universe doppelgänger, The Noxious Offender.",6.2,63.0,47.0
"Guardo, ci penso e nasco",2001,"Comedy, Drama, Fantasy",94,Nick Castle,A guardian angel has 24 hours to convince a soul that life on Earth is worth the effort.,5.8,20.0,2.0
Groove,2000,"Drama, Music",86,Greg Harrison,An inside look into one night in the San Francisco underground rave scene.,6.6,76.0,38.0
Pearl Harbor,2001,"Action, Drama, History",183,Michael Bay,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,6.2,2026.0,199.0
Rustin,2001,"Comedy, Drama",101,Rick Johnson,"Billy Stagen is a former professional football player and present-day sheriff in his hometown, the picturesque Rustin, Alabama.",5.6,10.0,
The Amati Girls,2000,Drama,91,Anne De Salvo,"While trying to help their widowed mother cope, each of four sisters begins to understand what is missing in their own lives and relationships, and the lessons they learn affect the entire family.",5.3,12.0,14.0
