movie_title,year,genre,duration,director,description,avg_vote,reviews_from_users,reviews_from_critics
Planet of the Apes - Il pianeta delle scimmie,2001,"Action, Adventure, Sci-Fi",119,Tim Burton,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",5.7,1377.0,224.0
Il pianeta del tesoro,2002,"Animation, Adventure, Family",95,"Ron Clements, John Musker","A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.",7.2,266.0,133.0
Scream 3,2000,"Horror, Mystery",116,Wes Craven,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",5.6,763.0,226.0
Duets,2000,"Comedy, Drama, Music",112,Bruce Paltrow,"A professional karaoke hustler reconnects with his daughter and a bored suburban businessman turns outlaw karaoke singer, among other plotlines.",6.1,129.0,65.0
Wind River,2000,"Drama, Family, Western",97,Tom Shell,The 1854 Wyoming historical drama is based on Tom Shell's adaptation of the true life memoirs of Pony Express rider Nick Wilson.,6.4,7.0,1.0
Seven Days of Grace,2006,"Comedy, Drama",88,Don E. FauntLeRoy,"Four women - a blonde, a hippie, a lesbian and a barmaid - are looking for love, money and success. When one inherits an Italian restaurant from her father, they see this as a chance to ...",4.4,4.0,
Cement - Fino all'ultimo colpo,2000,"Crime, Drama",97,Adrian Pasdar,"What's the bond between partners, between brothers, and between spouses? In L.A., Bill Holt handcuffs Sean Rickhart inside a rebar frame for a freeway pillar at a construction site; Bill's ...",6.3,10.0,2.0
"Prima ti sposo, poi ti rovino",2003,"Comedy, Crime, Romance",100,"Joel Coen, Ethan Coen",A beautiful gold digger matches wits with a shrewd Beverly Hills divorce lawyer who is increasingly attracted to her.,6.2,335.0,171.0
La strada per El Dorado,2000,"Animation, Adventure, Comedy",89,"Bibo Bergeron, Don Paul","Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",6.9,163.0,77.0
Waterproof,2000,Drama,95,Barry Berman,A mother flees to her hometown after her son gets into trouble.,6.5,22.0,1.0
The Yards,2000,"Crime, Drama, Romance",115,James Gray,Leo is released from prison after serving time for car theft. His plan to go straight falls apart when he meets his corrupt uncle for a job and later an old friend working there. It culminates at the (railroad) yards.,6.4,140.0,81.0
Imprevisti di nozze,2000,"Comedy, Romance",96,Steven Feder,Two strangers meet and fall in love during the weekend that they are planning their respective weddings.,5.7,43.0,5.0
Training Day,2001,"Crime, Drama, Thriller",122,Antoine Fuqua,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,7.7,712.0,127.0
The Ghost,2001,"Action, Thriller",86,Douglas Jackson,A feared Chinese Tong soldier goes undercover in America as an Asian Internet bride.,3.8,13.0,2.0
Amori in città... e tradimenti in campagna,2001,"Comedy, Romance",104,Peter Chelsom,"Porter Stoddard is a well-known New York architect who is at a crossroads... a nexus where twists and turns lead to myriad missteps, some with his wife Ellie, others with longtime friends ...",4.5,94.0,62.0
Nobody Knows Anything!,2003,Comedy,88,William Tannen,"In this comedy about Hollywood, Sarah thinks making a movie is easy. With the guidance of her screenwriter uncle, she goes on a wild journey into the world of Hollywood where she meets ...",3.2,6.0,
Meeting Daddy,2000,"Comedy, Romance",96,Peter Gould,An aspiring writer from New York visits his girlfriend's eccentric family in Georgia.,4.6,11.0,2.0
Knockout,2000,"Action, Drama",99,Lorenzo Doumani,,3.7,10.0,5.0
"Lui, lei e gli altri",2000,"Comedy, Drama",98,Lisa Krueger,A young woman goes in search of her midlife crisis suffering husband who left her.,5.1,39.0,42.0
La famiglia del professore matto,2000,"Comedy, Romance, Sci-Fi",106,Peter Segal,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.",4.4,181.0,97.0
Spider-Man,2002,"Action, Adventure, Sci-Fi",121,Sam Raimi,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",7.3,2130.0,322.0
Shooting Vegetarians,2005,"Comedy, Drama",76,Mikey Jackson,"Neil, a punk rock vegetarian, is being forced to go into the family butcher business. He decides to save the world instead.",4.9,3.0,1.0
Thirteen Days,2000,"Drama, History, Thriller",145,Roger Donaldson,"In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis.",7.3,338.0,171.0
"Goodnight, Joseph Parker",2004,Drama,81,Dennis Brooks,"""Unapologetically brash in dialogue and texture GOODNIGHT JOSEPH PARKER is the classic love story brought to a no-pleasantries bar room. Girl loves man who loves woman, woman isn't worth ...",7.6,9.0,1.0
La leggenda di Bagger Vance,2000,"Drama, Fantasy, Sport",126,Robert Redford,A down-and-out golfer attempts to recover his game and his life with help from a mystical caddy.,6.7,279.0,127.0
Shafted!,2000,"Action, Comedy",90,Tom Putnam,"Steven Byzinsky is convinced he's a blaxploitation superhero. Like Shaft, Dolemite and Black Belt Jones before him, he's keeping' the streets safe for the brother and trying to stay one ...",3.9,5.0,1.0
Looking for an Echo,2000,Drama,97,Martin Davidson,The lead singer of an oldies group reminisces about the good ol' days and a potential comeback.,6.4,12.0,6.0
Passione ribelle,2000,"Drama, Romance, Western",116,Billy Bob Thornton,"Two Texas cowboys head to Mexico in search of work, but soon find themselves in trouble with the law after one of them falls in love with a wealthy rancher's daughter.",5.8,188.0,89.0
Laughing Boy,2000,Comedy,82,Joe Grisaffi,"Is having fun and saying what you really think politically incorrect? Or is it impossible to do both? Cody McKenzie thinks nobody has parties anymore. Maybe they do, but he just isn't ...",5.5,30.0,15.0
The Bacchae,2002,Drama,90,Brad Mays,,6.8,1.0,
Secrets of a Chambermaid,2000,Drama,99,Adele Bertei,"After a rich woman dies, her friends and relatives meet at her mansion to await the reading of her will. Over the evening, many of them hook up and have a passionate night together, including the maid. But someone's watching them.",5.1,9.0,1.0
A Good Baby,2000,Drama,87,Katherine Dieckmann,"A young inbred loner wandering the back roads of North Carolina comes across an abandoned baby. He immediately starts seeking the baby's parents, but starts developing a bond with the child...",6.8,14.0,9.0
Il ricordo di un aprile,2000,"Drama, Family, War",90,Bob Clark,Four young boys find a shipwrecked Japanese sailor during World War II and struggle with the decision to save him.,6.3,12.0,1.0
St. Andrew's Girls,2003,"Comedy, Horror",76,Andrew Warren,"Four Catholic school girls face killer nuns, gangsta Jews and giant lobsters.",3.5,,
Screwed - Due criminali da strapazzo,2000,"Comedy, Crime",81,"Scott Alexander, Larry Karaszewski","A chauffeur kidnaps his rich boss's dog to hold it for ransom, but when she accidentally gets the dog back, she thinks that it's the chauffeur who's been kidnapped.",5.8,76.0,30.0
Life/Drawing,2000,"Comedy, Romance",89,Dan Bootzin,An L.A. artist suddenly finds his life upside down when his art show is canceled and his model girlfriend leaves him.,5.0,7.0,6.0
