,year,movie_title,certificate,duration,genre,rate,metascore,votes,gross,user_reviews,critic_reviews,cartoon,number_of_genres
1004,2014,The Imitation Game,PG-13,114,Biography|Drama|Thriller,8.10000038,73.0,511321,91120000,634.0,456.0,False,3
1005,2016,Assassin's Creed,PG-13,115,Action|Adventure|Fantasy,6.4000001,36.0,44969,51200000,286.0,243.0,False,3
1006,2015,Inside Out,PG,95,Animation|Adventure|Comedy,8.19999981,94.0,388047,356450000,796.0,544.0,True,3
1007,2012,Spring Breakers,R,94,Crime|Drama,5.30000019,63.0,112039,14120000,562.0,445.0,False,2
1008,2014,Dawn of the Planet of the Apes,PG-13,130,Action|Adventure|Drama,7.599999900000001,79.0,329334,208540000,620.0,524.0,False,3
1009,2012,The Hunt,R,115,Drama,8.30000019,76.0,185009,610000,257.0,352.0,False,1
1010,2014,Transformers: Age of Extinction,PG-13,165,Action|Adventure|Sci-Fi,5.69999981,32.0,249971,245430000,931.0,384.0,False,3
1011,2013,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,R,114,Adventure|Comedy,7.099999900000001,58.0,28557,940000,43.0,143.0,False,2
1012,2016,Hacksaw Ridge,R,139,Drama|History|War,8.5,71.0,51138,65090000,246.0,257.0,False,3
1013,2012,Beasts of the Southern Wild,PG-13,93,Drama|Fantasy,7.30000019,86.0,71897,12784397,273.0,664.0,False,2
1014,2013,Saving Mr. Banks,PG-13,125,Biography|Comedy|Drama,7.5,65.0,123256,83300000,314.0,411.0,False,3
1015,2016,The Accountant,R,128,Action|Crime|Drama,7.400000099999999,51.0,104713,86200000,264.0,276.0,False,3
1016,2014,American Sniper,R,133,Action|Biography|Drama,7.30000019,72.0,341092,350120000,923.0,494.0,False,3
1017,2014,Into the Woods,PG,125,Adventure|Comedy|Drama,6.0,69.0,106382,128000000,792.0,325.0,False,3
1018,2013,The Purge,R,85,Horror|Sci-Fi|Thriller,5.69999981,41.0,150051,64420000,588.0,370.0,False,3
1019,2013,Grown Ups 2,PG-13,101,Comedy,5.4000001,19.0,111737,133670000,262.0,138.0,False,1
1020,2014,The Other Woman,PG-13,109,Comedy|Romance,6.0,39.0,108326,83910000,194.0,198.0,False,2
1021,2013,Before Midnight,R,109,Drama|Romance,7.900000099999999,94.0,101404,8110000,271.0,409.0,False,2
1022,2014,Big Hero 6,PG,102,Animation|Action|Adventure,7.900000099999999,74.0,296501,222490000,441.0,389.0,True,3
